model,模型,Accuracy,Precision,Recall,F1,ROC-AUC,AMS@0.5,AMS(best),best_thr
random_forest,随机森林,0.8369,0.7896406265328145,0.7097134459955915,0.7475466674921833,0.905747889830912,2.88905038798565,3.5204498829181015,0.75
xgboost,XGBoost,0.8431,0.7892412052374191,0.7351947097722263,0.7612598904443092,0.9105855617943585,2.87139594671203,3.4468092666382577,0.83
mlp,MLP神经网络,0.84021,0.777357678593385,0.7432476120499633,0.7599200685127034,0.9083181235294134,2.744981327893498,3.3853404604224075,0.84
logreg,逻辑回归,0.7519,0.6678934518820828,0.5386921381337252,0.5963753497754929,0.8148445613319008,2.003220008959675,2.044118987840116,0.44000000000000006
dummy,基准(多数类),0.65975,0.0,0.0,0.0,0.5,0.0,1.0790735172880885,0.1
