jet组,训练样本,评估样本,组内Signal占比,组内AUC
0,99913,40163,0.2518238179418868,0.8955568191886019
1,77544,30791,0.35477899386184275,0.8946337385650461
2,50379,20266,0.5066120596072239,0.9342482996716931
3,22164,8780,0.3097949886104784,0.9046145165987186
