策略,public_AMS,best_thr,private_AMS,private_AUC,private_AMS_gain
S0 基线(XGBoost),3.549317297462884,0.82,3.576801652294014,0.9130930903426694,0.0
S1 物理权重训练,3.692227949714677,0.93,3.687804286892141,0.9032984920341038,0.11100263459812698
S2 CV-Bagging XGBoost,3.563438899143501,0.85,3.6190234140432973,0.9134320512291029,0.04222176174928327
S3 集成(概率均值),3.5699172700811634,0.82,3.604854491795945,0.9133128446666434,0.028052839501930826
S4 集成(排名均值),3.5651863568220055,0.85,3.6013615943346875,0.9133730923422114,0.024559942040673466
"S5 凸组合(xgb=0.3,rf=0.3,mlp=0.4)",3.582946710231291,0.85,3.593703216886536,0.9134140774690773,0.0169015645925219
S6 物理权重+CV-Bagging,3.7063383417162052,0.95,3.693025922734375,0.9037003400546396,0.1162242704403611
S7 集成(权重bag+RF+MLP),3.661346774960527,0.85,3.6653643705253374,0.9118405739852757,0.08856271823132333
