模型,Accuracy,Precision,Recall,F1,ROC-AUC,AMS@0.5,AMS(best),best_thr
基准(多数类),0.65975,0.0,0.0,0.0,0.5,0.0,1.0790735172880885,0.1
逻辑回归,0.7519,0.6678934518820828,0.5386921381337252,0.5963753497754929,0.8148445613319008,2.003220008959675,2.044118987840116,0.44000000000000006
